,jobtitle,company,city,state,country,language,formattedLocation,source,advertiserId,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations,refNum
0,Back End Developer,Underdog.io,New York,NY,US,en,"New York, NY",Indeed,50377860.0,"Sun, 30 Oct 2022 15:46:56 GMT",Individuals on the EST time zone are preferred. They're working on interesting technical challenges and must be respectful of your time to stay active.,https://www.indeed.com/viewjob?jk=4b8a3869a1c33a9f&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",4b8a3869a1c33a9f,False,False,False,"New York, NY",7 days ago,,50377860-43-45
1,Software Engineer- Recent Graduate,PayPal,New York,NY,US,en,"New York, NY",Paypal,,"Thu, 22 Sep 2022 00:03:59 GMT","We have opportunities in a wide range of areas including development, design, search, platform, test, quality, big data, front end and back end.",https://www.indeed.com/viewjob?jk=b887eb6936849a06&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",b887eb6936849a06,False,False,False,"New York, NY",30+ days ago,,R0092213-5
2,Front End Developer - Chase,"JPMorgan Chase Bank, N.A.",New York,NY,US,en,"New York, NY",JPMorgan Chase,,"Fri, 04 Nov 2022 04:37:05 GMT","BS/BA degree or equivalent experience. Advanced knowledge of application, data, and infrastructure architecture disciplines.",https://www.indeed.com/viewjob?jk=313722124bb838a8&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",313722124bb838a8,False,False,False,"New York, NY",2 days ago,,281007383
3,Digital Systems Junior Developer,Barnes & Noble,New York,NY,US,en,"New York, NY",Barnes & Noble,,"Thu, 06 Oct 2022 18:26:16 GMT","Assist senior <b>developers</b> with all aspects of software design and development. JobSummary: As a Digital Systems Junior <b>Developer</b>, you will assist experienced…",https://www.indeed.com/viewjob?jk=3370a863d8fda8a9&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",3370a863d8fda8a9,False,False,False,"New York, NY 10003",30+ days ago,,60737BR
4,Associate Software Engineer,Northwell Health,Lake Success,NY,US,en,"Lake Success, NY",Northwell Health,,"Sat, 15 Oct 2022 12:18:46 GMT","Assists in creating clear, technical designs and specifications, developing solutions and communicating requirements to external <b>developers</b>.",https://www.indeed.com/viewjob?jk=faacf67a1d3ec3d1&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",faacf67a1d3ec3d1,False,False,False,"Lake Success, NY 11020",22 days ago,,1962_68552
5,Java Back End Developer,"JPMorgan Chase Bank, N.A.",New York,NY,US,en,"New York, NY",JPMorgan Chase,,"Mon, 24 Oct 2022 04:03:50 GMT","BS/BA degree or equivalent experience. Expertise in application, data, and infrastructure architecture disciplines.",https://www.indeed.com/viewjob?jk=c6e3404aeecd8c98&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",c6e3404aeecd8c98,False,False,False,"New York, NY",13 days ago,,279402969
6,"Software Engineer, Story",The New York Times,New York,NY,US,en,"New York, NY",The New York Times,,"Wed, 26 Oct 2022 18:48:10 GMT","In this role, you’ll report to a Senior Engineering Manager and join a cross-functional team of engineers, designers, and product managers to help build high…",https://www.indeed.com/viewjob?jk=b6158f9af8e9d1a2&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",b6158f9af8e9d1a2,False,False,False,"New York, NY",11 days ago,,REQ-013442-1
7,Web Developer - Journalism,New York University,New York,NY,US,en,"New York, NY",New York University,,"Tue, 25 Oct 2022 01:09:57 GMT",This individual will develop and maintain web sites for the Journalism Institute. Establish and maintain content design and format on web sites following…,https://www.indeed.com/viewjob?jk=a8956830836cae5f&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",a8956830836cae5f,False,False,False,"New York, NY 10012",12 days ago,,d6f633be-f73a-46e1-8b30-8962782e3524-1
8,PHP Developer,Financial Times,New York,NY,US,en,"New York, NY",Financial Times,,"Tue, 04 Oct 2022 18:38:09 GMT","Work as a key member of the internal development group; use test driven or behavior driven development methodologies; develop websites, applications, services,…",https://www.indeed.com/viewjob?jk=0ee926cb68851a7d&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",0ee926cb68851a7d,False,False,False,"New York, NY",30+ days ago,,4083421101
9,Web Developer (71101),Pratt Institute,Brooklyn,NY,US,en,"Brooklyn, NY",Pratt Institute,,"Wed, 02 Nov 2022 07:39:56 GMT","Pratt Institute Division of Information Technology is seeking a Web <b>Developer</b> versed in popular coding languages such as Salesforce Apex, HTML, CSS, JavaScript,…",https://www.indeed.com/viewjob?jk=906c4ae04b81bf1c&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",906c4ae04b81bf1c,False,False,False,"Brooklyn, NY 11205",4 days ago,,3594168
10,Python / Database Developer,Bank of America,New York,NY,US,en,"New York, NY",Bank of America,,"Sat, 29 Oct 2022 00:50:59 GMT","You will be responsible for developing required intra-day and end of day reporting systems enhancements, writing quality unit tests, liaising closely with the…",https://www.indeed.com/viewjob?jk=fba8a8a2fd21f8c8&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",fba8a8a2fd21f8c8,False,False,False,"New York, NY",8 days ago,,22097781
11,2023 Entry Level Associate Developer: Full Stack,IBM,Buffalo,NY,US,en,"Buffalo, NY",IBM,,"Sat, 22 Oct 2022 16:27:39 GMT","Reviewing software code written by other <b>developers</b> to identify bugs and errors. Creating virtual and physical network configurations, servers, communications,…",https://www.indeed.com/viewjob?jk=2d51ad85294bae04&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",2d51ad85294bae04,False,False,False,"Buffalo, NY 14201",15 days ago,,116258517
12,AWS/Python Developer (CONTRACT) REMOTE,Broadridge,Edgewood,NY,US,en,"Edgewood, NY",Broadridge,,"Fri, 04 Nov 2022 17:13:00 GMT","Windows Powershell experience is a plus. Main responsibility of this role will be to write clean code, data design, testing, technical design and…",https://www.indeed.com/viewjob?jk=e0a99c2e03d2f6f1&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",e0a99c2e03d2f6f1,False,False,False,"Edgewood, NY",2 days ago,,JR1051443
13,Developer Specialist (Remote),Macy’s,New York,NY,US,en,"New York, NY",Macy's,,"Tue, 18 Oct 2022 14:06:54 GMT","Macy’s Marketing delivers a healthy, profitable customer franchise that is growing through engagement and acquisition.",https://www.indeed.com/viewjob?jk=11709b514a6a2d1d&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",11709b514a6a2d1d,False,False,False,"New York, NY 10001",19 days ago,,36156-2
14,2023 Software Engineer Program - Full-Time Opportunity,"JPMorgan Chase Bank, N.A.",New York,NY,US,en,"New York, NY",JPMorgan Chase,,"Thu, 03 Nov 2022 07:05:23 GMT","Dive head-first into creating innovative solutions that make a difference for our customers, clients and employees.",https://www.indeed.com/viewjob?jk=9af5af21dde9aa12&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB1lIJNBFbWLhPP1pets2cU0&indpubnum=448947293830904&atk=1gh76cmmgj33i800,"indeed_clk(this,'1612');",9af5af21dde9aa12,False,False,False,"New York, NY",3 days ago,,280860567
